time,model_id,model_name,port_name,data
0,440,(4,5),,0.545126
0,441,(15,13),,0.520515
0,442,(17,20),,0.332116
0,443,(14,13),,0.341559
0,444,(46,31),,0.049803
0,445,(12,13),,0.409299
0,446,(13,15),,0.363274
0,447,(10,13),,0.492875
0,448,(41,20),,0.357010
0,449,(21,12),,0.208012
0,450,(11,15),,0.442856
0,451,(5,39),,0.040300
0,452,(5,13),,0.127616
0,453,(12,18),,0.444234
0,454,(40,25),,0.239605
0,455,(0,13),,0.450171
0,456,(11,43),,0.503850
0,457,(46,12),,0.121945
0,458,(39,15),,0.365823
0,459,(45,5),,0.063092
0,460,(23,42),,0.300294
0,461,(41,12),,0.266019
0,462,(5,15),,0.542699
0,463,(48,10),,0.070562
0,464,(18,28),,0.310536
0,465,(18,29),,0.267472
0,466,(40,14),,0.350449
0,467,(37,12),,0.259043
0,468,(36,12),,0.244141
0,469,(34,12),,0.216116
0,470,(23,4),,0.317227
0,471,(46,15),,0.501086
0,472,(26,45),,0.281579
0,473,(30,12),,0.168497
0,474,(27,12),,0.201317
0,475,(7,11),,0.591502
0,476,(24,19),,0.463143
0,477,(23,12),,0.251559
0,478,(10,43),,0.578161
0,479,(16,8),,0.174982
0,480,(0,16),,0.463131
0,481,(20,12),,0.291374
0,482,(3,45),,0.523646
0,483,(44,16),,0.227115
0,484,(19,30),,0.259632
0,485,(19,12),,0.296698
0,486,(21,8),,0.060967
0,487,(0,27),,0.467779
0,488,(17,12),,0.485077
0,489,(17,22),,0.401002
0,490,(44,41),,0.050981
0,491,(49,4),,0.058141
0,492,(2,29),,0.445022
0,493,(5,27),,0.348207
0,494,(27,13),,0.199262
0,495,(25,25),,0.577941
0,496,(13,20),,0.446918
0,497,(4,17),,0.519230
0,498,(44,9),,0.097674
0,499,(31,26),,0.158180
0,500,(43,46),,0.106267
0,501,(7,12),,0.439905
0,502,(18,5),,0.311057
0,503,(42,17),,0.340914
0,504,(9,6),,0.534627
0,505,(29,10),,0.208844
0,506,(4,42),,0.543916
0,507,(6,12),,0.580416
0,508,(25,13),,0.212593
0,509,(6,1),,0.544456
0,510,(40,42),,0.088350
0,511,(1,12),,0.479875
0,512,(49,11),,0.063657
0,513,(6,18),,0.536624
0,514,(48,11),,0.074069
0,515,(35,2),,0.211493
0,516,(44,11),,0.146404
0,517,(29,36),,0.144481
0,518,(43,45),,0.095874
0,519,(17,5),,0.313631
0,520,(42,11),,0.301095
0,521,(39,11),,0.252141
0,522,(30,18),,0.246081
0,523,(38,11),,0.246448
0,524,(35,11),,0.226183
0,525,(18,1),,0.259420
0,526,(34,11),,0.216058
0,527,(43,18),,0.284663
0,528,(32,11),,0.178435
0,529,(15,35),,0.077134
0,530,(31,11),,0.173276
0,531,(37,49),,0.195896
0,532,(28,11),,0.202538
0,533,(44,29),,0.111032
0,534,(46,46),,0.128209
0,535,(27,11),,0.215775
0,536,(26,31),,0.276328
0,537,(0,17),,0.582627
0,538,(17,40),,0.048278
0,539,(26,11),,0.256337
0,540,(30,14),,0.152780
0,541,(25,34),,0.209119
0,542,(25,11),,0.234891
0,543,(24,11),,0.248857
0,544,(1,22),,0.461557
0,545,(30,11),,0.542986
0,546,(22,11),,0.288007
0,547,(21,11),,0.300977
0,548,(11,30),,0.209170
0,549,(2,14),,0.496698
